query_id,run_id,build_time,solve_time,objective_value
1,0,2.77786e+06,6.76871e+07,22.8805
1,1,2.03868e+06,6.06533e+07,22.8805
1,2,2.0012e+06,5.76641e+07,22.8805
1,3,1.96721e+06,5.46507e+07,22.8805
1,4,1.74146e+06,5.55473e+07,22.8805
1,5,1.81569e+06,5.44085e+07,22.8805
1,6,1.82834e+06,5.44462e+07,22.8805
1,7,1.74015e+06,5.95207e+07,22.8805
1,8,1.66922e+06,5.30986e+07,22.8805
1,9,1.60126e+06,5.3097e+07,22.8805
2,0,1.56696e+06,7.01356e+07,25.8721
2,1,1.51709e+06,6.97901e+07,25.8721
2,2,1.52339e+06,7.14516e+07,25.8721
2,3,1.50465e+06,7.03227e+07,25.8721
2,4,1.53088e+06,7.08898e+07,25.8721
3,0,333404,4.1952e+06,28.5034
3,1,321621,3.89175e+06,28.5034
3,2,313839,3.77057e+06,28.5034
3,3,313974,3.90698e+06,28.5034
3,4,314199,3.83999e+06,28.5034
3,5,310632,3.70125e+06,28.5034
3,6,312115,3.80748e+06,28.5034
3,7,312953,3.83327e+06,28.5034
3,8,311227,3.75483e+06,28.5034
3,9,314959,4.02345e+06,28.5034
4,0,1.64882e+06,7.36988e+07,23.8274
4,1,1.73696e+06,7.49844e+07,23.8274
4,2,1.54089e+06,7.31016e+07,23.8274
4,3,1.5521e+06,7.30992e+07,23.8274
4,4,1.55693e+06,7.1931e+07,23.8274
5,0,1.55369e+06,6.99502e+07,26.4106
5,1,1.51086e+06,6.93304e+07,26.4106
5,2,1.504e+06,6.94683e+07,26.4106
5,3,1.55381e+06,6.97988e+07,26.4106
5,4,1.58492e+06,6.94684e+07,26.4106
6,0,1.5675e+06,6.91018e+07,28.9571
6,1,1.59305e+06,6.69145e+07,28.9571
6,2,1.57141e+06,6.79075e+07,28.9571
6,3,1.67591e+06,6.76702e+07,28.9571
6,4,1.57261e+06,6.64354e+07,28.9571
7,0,9.98433e+07,1.83327e+10,37.6287
7,1,8.95229e+07,1.83742e+10,37.6287
7,2,8.38904e+07,1.84713e+10,37.6287
7,3,8.64707e+07,1.78663e+10,37.6287
7,4,8.4229e+07,1.78652e+10,37.6287
8,0,3.27566e+07,4.10583e+09,30.5491
8,1,3.28443e+07,4.07052e+09,30.5491
8,2,3.22283e+07,4.07528e+09,30.5491
8,3,3.23444e+07,4.08628e+09,30.5491
8,4,3.21303e+07,4.08639e+09,30.5491
9,0,2.24707e+08,8.18159e+10,30.5491
9,1,2.04807e+08,8.20042e+10,30.5491
9,2,2.02115e+08,8.18586e+10,30.5491
9,3,2.01176e+08,8.22197e+10,30.5491
9,4,2.02604e+08,8.18483e+10,30.5491
10,0,8.11532e+07,1.79562e+10,27.0571
10,1,8.64405e+07,1.79925e+10,27.0571
10,2,8.18549e+07,1.80402e+10,27.0571
10,3,8.56409e+07,1.80845e+10,27.0571
10,4,8.10054e+07,1.7995e+10,27.0571
11,0,2.01255e+08,7.84374e+10,28.8525
11,1,2.01776e+08,7.85545e+10,28.8525
11,2,2.09928e+08,7.85086e+10,28.8525
11,3,2.00481e+08,7.84302e+10,28.8525
11,4,2.02893e+08,7.84861e+10,28.8525
12,0,2.00221e+08,8.84351e+10,28.1463
12,1,1.99409e+08,8.83566e+10,28.1463
12,2,2.0122e+08,8.83609e+10,28.1463
12,3,2.02618e+08,8.81586e+10,28.1463
12,4,1.99727e+08,8.81277e+10,28.1463
13,0,14.89421e+08,6.81277e+12,28.1457
14,0,2.38598e+08,1.13751e+11,30.3248
15,0,5.37926e+08,4.96828e+11,36.9187
16,0,8.29315e+07,1.76564e+10,37.9546
17,0,4.10023e+07,4.64102e+09,33.223
18,0,3.28024e+07,4.56663e+09,31.354
21,0,5.34647e+08, 5.67533e+11,38.3843
25,0,5.29571e+08, 5.71291e+11,38.2878